cluster,cluster_order,n_total_cells,n_barcoded_cells,n_unique_clones,n_embryos,barcode_fraction
0,1,688,278,141,4,0.40406976744186046
1,2,1398,628,250,4,0.4492131616595136
2,3,704,441,188,4,0.6264204545454546
3,4,883,570,212,4,0.6455266138165345
4,5,578,315,149,4,0.5449826989619377
5,6,658,368,174,4,0.5592705167173252
6,7,625,279,140,4,0.4464
7,8,308,187,108,4,0.6071428571428571
8,9,872,362,151,4,0.4151376146788991
9,10,152,58,53,4,0.3815789473684211
10,11,96,45,41,4,0.46875
11,12,110,59,48,3,0.5363636363636364
