cell_id,embryo,clone_id,clone_uid,cluster
E1_clone0_0,E1,clone0,E1::clone0,1
E1_clone0_1,E1,clone0,E1::clone0,0
E1_clone0_2,E1,clone0,E1::clone0,0
E1_clone0_3,E1,clone0,E1::clone0,1
E1_clone0_4,E1,clone0,E1::clone0,1
E1_clone0_5,E1,clone0,E1::clone0,11
E1_clone0_6,E1,clone0,E1::clone0,0
E1_clone0_7,E1,clone0,E1::clone0,1
E1_clone1_0,E1,clone1,E1::clone1,3
E1_clone1_1,E1,clone1,E1::clone1,3
E1_clone1_2,E1,clone1,E1::clone1,3
E1_clone1_3,E1,clone1,E1::clone1,3
E1_clone1_4,E1,clone1,E1::clone1,4
E1_clone1_5,E1,clone1,E1::clone1,3
E1_clone1_6,E1,clone1,E1::clone1,5
E1_clone1_7,E1,clone1,E1::clone1,5
E1_clone1_8,E1,clone1,E1::clone1,3
E1_clone2_0,E1,clone2,E1::clone2,6
E1_clone2_1,E1,clone2,E1::clone2,6
E1_clone2_2,E1,clone2,E1::clone2,8
E1_clone2_3,E1,clone2,E1::clone2,6
E1_clone2_4,E1,clone2,E1::clone2,6
E1_clone2_5,E1,clone2,E1::clone2,0
E1_clone2_6,E1,clone2,E1::clone2,8
E1_clone2_7,E1,clone2,E1::clone2,8
E1_clone2_8,E1,clone2,E1::clone2,8
E1_clone3_0,E1,clone3,E1::clone3,7
E1_clone3_1,E1,clone3,E1::clone3,7
E1_clone3_2,E1,clone3,E1::clone3,6
E1_clone3_3,E1,clone3,E1::clone3,6
E1_clone3_4,E1,clone3,E1::clone3,8
E1_clone3_5,E1,clone3,E1::clone3,7
E1_clone3_6,E1,clone3,E1::clone3,7
E1_clone3_7,E1,clone3,E1::clone3,8
E1_clone3_8,E1,clone3,E1::clone3,8
E1_clone3_9,E1,clone3,E1::clone3,7
E1_clone4_0,E1,clone4,E1::clone4,0
E1_clone5_0,E1,clone5,E1::clone5,3
E1_clone5_1,E1,clone5,E1::clone5,3
E1_clone5_2,E1,clone5,E1::clone5,6
E1_clone5_3,E1,clone5,E1::clone5,3
E1_clone5_4,E1,clone5,E1::clone5,1
E1_clone5_5,E1,clone5,E1::clone5,3
E1_clone5_6,E1,clone5,E1::clone5,3
E1_clone6_0,E1,clone6,E1::clone6,5
E1_clone6_1,E1,clone6,E1::clone6,4
E1_clone6_2,E1,clone6,E1::clone6,3
E1_clone6_3,E1,clone6,E1::clone6,5
E1_clone6_4,E1,clone6,E1::clone6,3
E1_clone7_0,E1,clone7,E1::clone7,0
E1_clone7_1,E1,clone7,E1::clone7,1
E1_clone7_2,E1,clone7,E1::clone7,1
E1_clone7_3,E1,clone7,E1::clone7,0
E1_clone7_4,E1,clone7,E1::clone7,1
E1_clone7_5,E1,clone7,E1::clone7,0
E1_clone7_6,E1,clone7,E1::clone7,1
E1_clone7_7,E1,clone7,E1::clone7,1
E1_clone8_0,E1,clone8,E1::clone8,1
E1_clone8_1,E1,clone8,E1::clone8,0
E1_clone9_0,E1,clone9,E1::clone9,0
E1_clone9_1,E1,clone9,E1::clone9,11
E1_clone9_2,E1,clone9,E1::clone9,6
E1_clone9_3,E1,clone9,E1::clone9,1
E1_clone9_4,E1,clone9,E1::clone9,0
E1_clone10_0,E1,clone10,E1::clone10,8
E1_clone10_1,E1,clone10,E1::clone10,7
